ElectionDate	PartyCode	PartyName	RaceCode	RaceName	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
HEY	Republican Primary	Republican Primary	140011	Representative in Congress, District 1	12091	Okaloosa	HEY	HEY	52	51	Gaetz	Matt	HEY	19324
HEY	Republican Primary	Republican Primary	140011	Representative in Congress, District 1	12091	Okaloosa	HEY	HEY	52	51	Mills	John	HEY	1188
HEY	Republican Primary	Republican Primary	140011	Representative in Congress, District 1	12113	Santa Rosa	HEY	HEY	41	41	Dosev	Cris	HEY	9181
HEY	Republican Primary	Republican Primary	140011	Representative in Congress, District 1	12113	Santa Rosa	HEY	HEY	41	41	Gaetz	Matt	HEY	15128
HEY	Republican Primary	Republican Primary	140011	Representative in Congress, District 1	12113	Santa Rosa	HEY	HEY	41	41	Mills	John	HEY	953
HEY	Republican Primary	Republican Primary	140011	Representative in Congress, District 1	12131	Walton	HEY	HEY	21	21	Dosev	Cris	HEY	1943
HEY	Republican Primary	Republican Primary	140011	Representative in Congress, District 1	12131	Walton	HEY	HEY	21	21	Gaetz	Matt	HEY	7885
HEY	Republican Primary	Republican Primary	140011	Representative in Congress, District 1	12131	Walton	HEY	HEY	21	21	Mills	John	HEY	940
HEY	Democratic Primary	Democratic Primary	140012	Representative in Congress, District 1	12033	Escambia	HEY	HEY	79	79	Ehr	Phil	HEY	8956
HEY	Democratic Primary	Democratic Primary	140012	Representative in Congress, District 1	12033	Escambia	HEY	HEY	79	79	Zimmerman	Jennifer	HEY	12710
HEY	Democratic Primary	Democratic Primary	140012	Representative in Congress, District 1	12059	Holmes	HEY	HEY	6	6	Ehr	Phil	HEY	221
HEY	Democratic Primary	Democratic Primary	140012	Representative in Congress, District 1	12059	Holmes	HEY	HEY	6	6	Zimmerman	Jennifer	HEY	391
HEY	Democratic Primary	Democratic Primary	140012	Representative in Congress, District 1	12091	Okaloosa	HEY	HEY	52	51	Ehr	Phil	HEY	2602
HEY	Democratic Primary	Democratic Primary	140012	Representative in Congress, District 1	12091	Okaloosa	HEY	HEY	52	51	Zimmerman	Jennifer	HEY	3888
HEY	Democratic Primary	Democratic Primary	140012	Representative in Congress, District 1	12113	Santa Rosa	HEY	HEY	41	41	Ehr	Phil	HEY	2109
